;nplv;DT;МАРКА;ПРОФИЛЬ;t вып-обр;t обработка;t под током;t продувка;ПСН гр.;чист расход C;чист расход Cr;чист расход Mn;чист расход Si;чист расход V;температура первая;температура последняя;Ar (интенс.);N2 (интенс.);эл. энергия (интенс.);произв жидкая сталь;произв количество обработок;произв  количество плавок;произв количество плавок (цел);расход газ Ar;расход газ  N2;расход C пров.;сыпуч известь РП;сыпуч кварцит;сыпуч кокс пыль УСТК;сыпуч  кокс. мелочь (сух.);сыпуч  кокс. мелочь КМ1;сыпуч  шпат плав.;ферспл CaC2;ферспл FeMo;ферспл FeSi-75;ферспл FeV азот.;ферспл  FeV-80;ферспл  Mn5Si65Al0.5;ферспл  Ni H1 пласт.;ферспл SiMn18;ферспл  ферванит;ферспл  фх850А;эл. энергия;химсталь первый Al_1;химсталь первый C_1;химсталь первый Cr_1;химсталь первый Cu_1;химсталь первый Mn_1;химсталь первый Mo_1;химсталь первый N_1;химсталь первый Ni_1;химсталь первый P_1;химсталь первый S_1;химсталь первый Si_1;химсталь первый Ti_1;химсталь первый V_1;химсталь последний Al;химсталь последний C;химсталь последний Ca;химсталь последний Cr;химсталь последний Cu;химсталь последний Mn;химсталь последний Mo;химсталь последний N;химсталь последний Ni;химсталь последний P;химсталь последний S;химсталь последний Si;химсталь последний Ti;химсталь последний V;химшлак первый Al2O3_1;химшлак первый CaO_1;химшлак первый FeO_1;химшлак первый MgO_1;химшлак первый MnO_1;химшлак первый R_1;химшлак первый SiO2_1;химшлак последний Al2O3;химшлак последний CaO;химшлак последний FeO;химшлак последний MgO;химшлак последний MnO;химшлак последний R;химшлак последний SiO2
0;г6837?3<87?;2070-06-21 00:14:00;Э76ХФ;Р65;29,0;45,3666667;24,4;41,0333333;;0,45646;0,059572;0,117446;0,104762;0,0409383;1557,0;1580,0;13,6067425;;12809,0163934;115,5;1,0;1,0;1,0;18,611;;;;;0,17;;0,401;0,123;0,02;;;;0,051939;0,112;;0,182;;0,106;5209,0;0,002;0,389;0,368;0,127;0,682;0,01;0,011;0,086;0,009;0,023;0,459;0,002;0,002;0,003;0,756;0,0001;0,417;0,126;0,779;0,009;0,012;0,086;0,011;0,018;0,559;0,003;0,037;;63,7;1,1;3,7;0,12;2,6;;;53,4;1,0;5,8;0,15;2,6;
1;г683863<886;2070-06-21 01:07:00;Э76ХФ;Р65;26,0;44,0666667;13,8666667;44,0666667;;0,359285;0,083738;0,160923;0,110327;0,0400831;1601,0;1591,0;8,074721;;12816,3461538;111,6;1,0;1,0;1,0;11,659;;;;;0,488;;;0,094;0,02;;;;0,050854;0,102;;0,251;;0,149;2962,0;0,002;0,465;0,345;0,112;0,643;0,009;0,011;0,08;0,007;0,023;0,461;0,002;0,002;0,003;0,774;0,0003;0,416;0,109;0,767;0,008;0,013;0,079;0,008;0,021;0,543;0,003;0,038;;58,5;0,8;4,9;0,14;2,2;;;59,3;0,6;4,1;0,11;2,3;
2;г683863<887;2070-06-21 02:00:00;Э76ХФ;Р65;24,0;43,35;17,95;43,35;;0,331665;0,08149;0,132332;0,13986;0,0416225;1593,0;1586,0;13,801968;;12511,4206128;115,8;1,0;1,0;1,0;19,871;;;;;0,05;;0,346;0,061;0,02;;;;0,052807;0,16;;0,204;;0,145;3743,0;0,002;0,513;0,351;0,107;0,674;0,007;0,011;0,078;0,008;0,019;0,455;0,002;0,002;0,004;0,77;0,0009;0,417;0,108;0,788;0,006;0,012;0,078;0,008;0,013;0,568;0,003;0,038;;58,0;0,8;8,6;0,12;2,6;;;57,2;0,5;8,1;0,13;2,3;
3;г683863<888;2070-06-21 02:58:00;Э76ХФ;Р65;17,0;46,1833333;19,8166667;46,1833333;;0,377945;0,133194;0,221605;0,165186;0,0420497;1589,0;1589,0;12,6649585;;12998,1497056;116,3;1,0;1,0;1,0;19,497;;;0,077;;0,05;;0,39;0,059;0,02;;;;0,053349;0,161;;0,345;;0,237;4293,0;0,002;0,487;0,31;0,105;0,611;0,009;0,011;0,07;0,006;0,02;0,434;0,001;0,001;0,003;0,767;0,0002;0,419;0,103;0,795;0,008;0,013;0,07;0,007;0,014;0,571;0,003;0,038;;59,8;0,4;6,4;0,11;2,4;;;60,3;0,5;6,3;0,12;2,6;
4;г683863<889;2070-06-21 03:50:00;Э76ХФ;Р65;20,0;48,5;17,0333333;48,5;;0,389875;0,105094;0,169459;0,143024;0,0409667;1597,0;1592,0;10,2983505;;12987,4755382;115,0;1,0;1,0;1,0;16,649;;;0,082;;0,05;;0,412;0,035;0,02;;;;0,051975;0,149;;0,263;;0,187;3687,0;0,002;0,461;0,334;0,105;0,652;0,007;0,011;0,08;0,007;0,02;0,447;0,001;0,002;0,003;0,784;0,0003;0,421;0,105;0,796;0,006;0,013;0,081;0,008;0,017;0,568;0,003;0,037;;59,6;0,7;4,7;0,12;2,4;;;60,3;0,6;4,5;0,09;2,5;
5;г683863<88:;2070-06-21 04:44:00;Э76ХФ;Р65;2,0;51,1833333;17,7333333;51,1833333;;0,28273;0,102284;0,153114;0,121723;0,0424777;1589,0;1601,0;7,0067196;;12133,0827068;117,4;1,0;1,0;1,0;11,528;;;0,068;;0,375;;;0,073;0,02;;;;0,053892;0,123;;0,238;;0,182;3586,0;0,002;0,488;0,331;0,101;0,656;0,008;0,01;0,086;0,007;0,021;0,455;0,002;0,002;0,003;0,731;;0,397;0,099;0,718;0,007;0,012;0,085;0,007;0,016;0,493;0,003;0,038;;67,4;0,5;3,8;0,08;3,0;;;62,3;1,1;2,5;0,15;2,7;
6;"г683863<88;";2070-06-21 05:53:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;г683863<88<;2070-06-21 08:25:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;г683863<88=;2070-06-21 09:23:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;г683863<88>;2070-06-21 10:17:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
